,word,score
0,outraged,0.964
1,brutality,0.959
2,hatred,0.953
3,hateful,0.940
4,terrorize,0.939
5,infuriated,0.938
6,violently,0.938
7,furious,0.929
8,enraged,0.927
9,furiously,0.927
10,screwyou,0.924
11,murderer,0.922
12,fury,0.922
13,execution,0.917
14,angered,0.916
15,savagery,0.915
16,slaughtering,0.914
17,veryangry,0.913
18,assassinate,0.912
19,annihilation,0.912
20,fuckoff,0.912
21,rage,0.911
22,loathe,0.909
23,damnation,0.906
24,fucktard,0.906
25,homicidal,0.906
26,roadrage,0.906
27,furor,0.900
28,hostile,0.898
29,annihilate,0.898
30,murder,0.897
31,raging,0.896
32,explosive,0.894
33,infuriates,0.894
34,pissed,0.894
35,ferocious,0.894
36,obliterated,0.894
37,rape,0.894
38,vengeful,0.894
39,sopissed,0.894
40,killing,0.893
41,combative,0.891
42,gofuckyourself,0.886
43,vengeance,0.886
44,wrath,0.885
45,torment,0.885
46,vicious,0.884
47,massacre,0.882
48,threatening,0.882
49,abhorrent,0.875
50,pissoff,0.875
51,bloodthirsty,0.875
52,fighting,0.868
53,attacking,0.865
54,annihilated,0.865
55,bloodshed,0.864
56,angriest,0.864
57,smite,0.862
58,brawl,0.861
59,malicious,0.859
60,tirade,0.859
61,assault,0.859
62,hostility,0.859
63,explode,0.859
64,assassination,0.859
65,strangle,0.859
66,loathsome,0.857
67,murderous,0.853
68,attack,0.853
69,hell,0.853
70,malice,0.852
71,terrorism,0.851
72,beating,0.849
73,desecration,0.848
74,pissingmeoff,0.848
75,outrage,0.848
76,destroying,0.844
77,irate,0.844
78,infuriate,0.844
79,stab,0.844
80,violent,0.844
81,tumultuous,0.844
82,abomination,0.844
83,slaughter,0.844
84,obliterate,0.843
85,belligerent,0.841
86,dumbbitch,0.841
87,detest,0.838
88,hostilities,0.837
89,prick,0.835
90,torture,0.833
91,rabid,0.833
92,rampage,0.833
93,horrid,0.833
94,cruelty,0.833
95,despicable,0.828
96,tyrannical,0.828
97,demonic,0.828
98,hating,0.828
99,ragemode,0.828
100,hate,0.828
101,satanic,0.828
102,ruinous,0.825
103,condemn,0.825
104,dickhead,0.824
105,demolish,0.824
106,angry,0.824
107,riots,0.824
108,extermination,0.824
109,livid,0.821
110,madman,0.820
111,vindictive,0.819
112,terrorist,0.818
113,threaten,0.818
114,hateyou,0.818
115,effyou,0.818
116,ferocity,0.818
117,venomous,0.818
118,abhor,0.816
119,savage,0.814
120,atrocity,0.814
121,carnage,0.814
122,angrytweet,0.812
123,barbaric,0.812
124,vendetta,0.812
125,destroyer,0.812
126,pissedoff,0.812
127,abuse,0.812
128,fuming,0.812
129,pissesmeoff,0.812
130,berserk,0.812
131,fierce,0.812
132,fucksake,0.812
133,tyrant,0.812
134,anger,0.811
135,pieceofshit,0.810
136,homicide,0.803
137,slam,0.803
138,punching,0.803
139,bitch,0.803
140,fights,0.803
141,punched,0.803
142,ruthless,0.797
143,destructive,0.797
144,villainous,0.797
145,slap,0.791
146,yelling,0.788
147,ragetweet,0.788
148,punishing,0.788
149,diabolical,0.788
150,riot,0.788
151,growthefuckup,0.788
152,destroyed,0.788
153,retaliatory,0.788
154,slaughterhouse,0.788
155,manslaughter,0.783
156,clash,0.783
157,detonation,0.781
158,sinister,0.781
159,hellish,0.781
160,quarrel,0.781
161,bloody,0.781
162,loath,0.781
163,treacherous,0.779
164,fumin,0.779
