,word,score
0,anticipation,0.859
1,excited,0.859
2,anticipate,0.820
3,excitement,0.820
4,eagerness,0.812
5,exciting,0.797
6,expectant,0.789
7,thrilling,0.781
8,hope,0.773
9,quest,0.766
10,anticipatory,0.750
11,start,0.750
12,expectance,0.750
13,adventure,0.750
14,countdown,0.750
15,expect,0.742
16,excite,0.742
17,climax,0.742
18,prophecy,0.742
19,arouse,0.742
20,eager,0.742
21,birth,0.734
22,ejaculation,0.734
23,announcement,0.734
24,expectancy,0.727
25,urgent,0.727
26,liberation,0.727
27,imminent,0.727
28,expecting,0.727
29,reunion,0.719
30,prospect,0.719
31,aspire,0.719
32,prospection,0.719
33,trepidation,0.719
34,voyage,0.719
35,yearning,0.711
36,ecstasy,0.711
37,journey,0.711
38,mystery,0.711
39,rapture,0.711
40,suspense,0.711
41,enthusiasm,0.711
42,kiss,0.711
43,hopeful,0.703
44,thrill,0.703
45,progress,0.703
46,excitation,0.703
47,destination,0.703
48,frantic,0.703
49,prospective,0.703
50,urgency,0.703
51,lottery,0.703
52,tantalizing,0.703
53,arrival,0.695
54,readiness,0.695
55,explore,0.695
56,advance,0.695
57,vacation,0.695
58,liberate,0.695
59,hurry,0.695
60,expectation,0.695
61,achievement,0.695
62,prediction,0.695
63,sex,0.695
64,approaching,0.688
65,ecstatic,0.688
66,allure,0.688
67,roulette,0.680
68,uprising,0.680
69,honeymoon,0.680
70,holiday,0.672
71,wishful,0.672
72,crescendo,0.672
73,celebrating,0.672
74,rescue,0.664
75,waiting,0.664
76,impending,0.664
77,winning,0.664
78,invitation,0.664
79,triumph,0.664
80,craving,0.664
81,winnings,0.664
82,orgasm,0.664
83,courtship,0.656
84,bridegroom,0.656
85,strive,0.656
86,fortune,0.656
87,reward,0.656
88,marriage,0.656
89,aspiring,0.656
90,bridal,0.656
91,gain,0.656
92,celebration,0.656
93,jackpot,0.656
94,victory,0.656
95,aspiration,0.648
96,tomorrow,0.648
97,crowning,0.648
98,alertness,0.648
99,intrigue,0.648
100,inheritance,0.648
101,treasure,0.648
102,opportunity,0.648
103,delivery,0.648
104,rising,0.648
105,prescient,0.648
106,receiving,0.641
107,bride,0.641
108,hype,0.641
109,anxious,0.641
110,spectacular,0.641
111,possibility,0.641
112,expedition,0.641
113,prognosis,0.641
114,erotic,0.641
115,engaged,0.641
116,celebrated,0.641
117,happiness,0.641
118,reckoning,0.641
119,revolution,0.641
120,award,0.641
121,launch,0.641
122,passion,0.633
123,destiny,0.633
124,vision,0.633
125,miracle,0.633
126,delight,0.633
127,birthday,0.633
128,firstborn,0.633
129,beware,0.633
130,curious,0.633
131,graduation,0.633
132,succeed,0.633
133,await,0.633
134,prepare,0.633
135,coming,0.633
136,captivate,0.633
137,passionate,0.633
138,ominous,0.633
139,triumphant,0.625
140,foresee,0.625
141,retirement,0.625
142,lust,0.625
143,revival,0.625
144,optimism,0.625
145,ripen,0.625
146,gift,0.625
147,escape,0.625
148,inspiration,0.625
149,foreboding,0.617
150,risky,0.617
151,simmering,0.617
152,surprisingly,0.617
153,foresight,0.617
154,bloom,0.617
155,verge,0.617
156,ambition,0.617
157,embrace,0.617
158,enchanting,0.617
159,destined,0.617
160,succeeding,0.609
161,forecast,0.609
162,seductive,0.609
163,matrimony,0.609
164,anxiety,0.609
165,bonus,0.609
166,alerts,0.609
167,magical,0.609
168,lookout,0.609
169,picnic,0.602
170,deserve,0.602
171,inspire,0.602
172,revenge,0.602
173,applicant,0.602
174,boomerang,0.602
175,diagnosis,0.602
176,winner,0.602
177,longing,0.602
178,entertaining,0.602
179,intended,0.602
180,success,0.602
181,fulfillment,0.602
182,nervous,0.602
183,visionary,0.602
184,prophetic,0.602
185,foreseen,0.602
186,buzz,0.594
187,result,0.594
188,preparedness,0.594
189,momentum,0.594
190,arrive,0.594
191,romance,0.594
192,marry,0.594
193,acquiring,0.594
194,rekindle,0.594
195,accelerate,0.594
196,advent,0.594
197,illuminate,0.594
198,luck,0.594
199,predict,0.589
200,endeavor,0.586
201,preparation,0.586
202,immerse,0.586
203,uplift,0.586
204,auspices,0.586
205,presumption,0.586
206,enthusiast,0.586
207,impatient,0.586
208,flirt,0.586
209,raffle,0.586
210,delightful,0.586
211,money,0.586
212,seek,0.586
213,overdue,0.586
214,fiesta,0.586
215,investigation,0.586
216,gambling,0.586
217,progression,0.586
218,enjoying,0.586
219,crave,0.586
220,sequel,0.586
221,experiment,0.580
222,enjoy,0.578
223,divination,0.578
224,healing,0.578
225,excavation,0.578
226,precarious,0.578
227,remedy,0.578
228,completing,0.578
229,transcendence,0.578
230,harvest,0.578
231,blessing,0.578
232,thirst,0.578
233,heavenly,0.578
234,attainable,0.578
235,inviting,0.578
236,majestic,0.578
237,prosper,0.578
238,clamor,0.578
239,thriving,0.578
240,risk,0.578
241,angling,0.578
242,matchmaker,0.570
243,sweetheart,0.570
244,intimate,0.570
245,omen,0.570
246,plan,0.570
247,dare,0.570
248,emancipation,0.570
249,finally,0.570
250,ultimate,0.570
251,magnificence,0.570
252,tease,0.570
253,prospectively,0.570
254,restlessness,0.570
255,zest,0.570
256,gambler,0.570
257,warned,0.570
258,invite,0.570
259,lover,0.562
260,fun,0.562
261,forewarned,0.562
262,exalt,0.562
263,enchant,0.562
264,fanfare,0.562
265,mysterious,0.562
266,expose,0.562
267,trophy,0.562
268,rejoice,0.562
269,expected,0.562
270,hypothesis,0.562
271,immortality,0.562
272,champion,0.562
273,parade,0.562
274,festival,0.562
275,accolade,0.562
276,independence,0.562
277,predilection,0.562
278,attempt,0.562
279,quicken,0.562
280,amour,0.555
281,speculative,0.555
282,liberty,0.555
283,heroism,0.555
284,grasping,0.555
285,splendor,0.555
286,uneasiness,0.555
287,happy,0.555
288,lovely,0.555
289,feeling,0.555
290,curiosity,0.555
291,grow,0.555
292,salvation,0.555
293,unfold,0.555
294,fate,0.555
295,rejoicing,0.555
296,boisterous,0.555
297,oracle,0.555
298,shopping,0.555
299,agape,0.547
300,changeable,0.547
301,leisure,0.547
302,convergence,0.547
303,hungry,0.547
304,warn,0.547
305,vote,0.547
306,resultant,0.547
307,monetary,0.547
308,recreational,0.547
309,suspicious,0.547
310,incite,0.547
311,glory,0.547
312,abundance,0.547
313,probability,0.547
314,sorcery,0.547
315,bountiful,0.547
316,apprehensive,0.547
317,pray,0.547
318,morrow,0.547
319,glimmer,0.547
320,delighted,0.547
321,inquiry,0.539
322,blessings,0.539
323,entertainment,0.539
324,vindication,0.539
325,auction,0.539
326,hunting,0.539
327,worrying,0.539
328,hankering,0.539
329,bounty,0.539
330,grandchildren,0.539
331,tempest,0.539
332,contingent,0.539
333,exceed,0.539
334,merge,0.539
335,sensual,0.539
336,ballot,0.539
337,glad,0.536
338,cheer,0.531
339,magnificent,0.531
340,visitor,0.531
341,forming,0.531
342,virginity,0.531
343,dread,0.531
344,celestial,0.531
345,stealthy,0.531
346,responsive,0.531
347,harbinger,0.531
348,overthrow,0.531
349,deliverance,0.531
350,betrothed,0.531
351,feat,0.531
352,spirits,0.531
353,appeal,0.531
354,hurried,0.531
355,raving,0.531
356,hunter,0.523
357,watch,0.523
358,prevail,0.523
359,notification,0.523
360,ultimately,0.523
361,prognostic,0.523
362,wait,0.523
363,explosive,0.523
364,pleasant,0.523
365,importance,0.523
366,preparatory,0.523
367,revive,0.523
368,haste,0.523
369,child,0.523
370,radiance,0.523
371,prophet,0.523
372,planning,0.523
373,cheery,0.523
374,competition,0.523
375,beaming,0.523
376,germination,0.523
377,fermentation,0.516
378,uncontrollable,0.516
379,chocolate,0.516
380,loom,0.516
381,recreation,0.516
382,begun,0.516
383,precious,0.516
384,present,0.516
385,compensate,0.516
386,treat,0.516
387,time,0.516
388,owing,0.516
389,renovation,0.516
390,celebrity,0.516
391,sensuality,0.516
392,caution,0.516
393,endanger,0.516
394,salary,0.516
395,dreadful,0.508
396,perfection,0.508
397,intermission,0.508
398,elevation,0.508
399,cue,0.508
400,wilderness,0.508
401,prerequisite,0.508
402,exigent,0.508
403,transitional,0.508
404,commemoration,0.508
405,horizon,0.508
406,vigilance,0.508
407,practise,0.508
408,contemplation,0.508
409,develop,0.508
410,infant,0.508
411,cultivate,0.508
412,signify,0.508
413,depart,0.500
414,eventuality,0.500
415,ardent,0.500
416,sunny,0.500
417,advocacy,0.500
418,reconciliation,0.500
419,puppy,0.500
420,sneaking,0.500
421,horoscope,0.500
422,swim,0.500
423,income,0.500
424,hero,0.500
425,calculation,0.500
426,invocation,0.500
427,doomsday,0.500
428,zeal,0.500
429,young,0.500
430,commemorate,0.500
431,airport,0.500
432,undisclosed,0.500
433,blindfold,0.500
434,favorable,0.500
435,utopian,0.500
436,ready,0.500
437,uphill,0.500
438,attendance,0.500
439,peril,0.500
440,romantic,0.500
441,litigate,0.500
442,intuitively,0.500
443,unbridled,0.500
444,nascent,0.500
445,defense,0.492
446,proceeding,0.492
447,eventual,0.492
448,bless,0.492
449,parole,0.492
450,court,0.492
451,improvise,0.492
452,repay,0.492
453,gaping,0.492
454,inauguration,0.492
455,restorative,0.492
456,youth,0.492
457,heyday,0.492
458,consequent,0.492
459,perspective,0.492
460,undertaking,0.492
461,worry,0.492
462,highest,0.491
463,conjure,0.484
464,unexplained,0.484
465,sparkle,0.484
466,duel,0.484
467,letter,0.484
468,threaten,0.484
469,shortly,0.484
470,tremor,0.484
471,voluptuous,0.484
472,vow,0.484
473,engulf,0.484
474,contagion,0.484
475,generosity,0.484
476,happen,0.484
477,correspondence,0.484
478,princely,0.484
479,sharpen,0.484
480,god,0.484
481,auspicious,0.484
482,cherish,0.477
483,determinate,0.477
484,contemplate,0.477
485,powerful,0.477
486,accompaniment,0.477
487,gravitate,0.477
488,glide,0.477
489,medal,0.477
490,perilous,0.477
491,torture,0.477
492,unification,0.477
493,predispose,0.477
494,clue,0.477
495,enroll,0.477
496,onset,0.477
497,score,0.477
498,adore,0.477
499,arbitration,0.477
500,submit,0.477
501,glorify,0.477
502,recipient,0.477
503,glow,0.477
504,praiseworthy,0.473
505,motion,0.469
506,sweets,0.469
507,precursor,0.469
508,star,0.469
509,immediately,0.469
510,shaky,0.469
511,scare,0.469
512,providing,0.469
513,cash,0.469
514,invoke,0.469
515,dawn,0.469
516,completion,0.469
517,cautious,0.469
518,pry,0.469
519,elite,0.469
520,unknown,0.469
521,fete,0.469
522,starry,0.469
523,football,0.469
524,production,0.469
525,successful,0.469
526,creeping,0.469
527,unsurpassed,0.469
528,opera,0.469
529,hire,0.469
530,extricate,0.461
531,regatta,0.461
532,commemorative,0.461
533,overture,0.461
534,draft,0.461
535,preliminary,0.461
536,cheerfulness,0.461
537,shining,0.461
538,brilliant,0.461
539,alive,0.461
540,excel,0.461
541,testament,0.461
542,plight,0.461
543,pay,0.461
544,synchronize,0.461
545,untold,0.461
546,sanctuary,0.461
547,jeopardy,0.461
548,mail,0.461
549,soundness,0.461
550,friendly,0.461
551,punt,0.461
552,prevention,0.453
553,infinity,0.453
554,supremacy,0.453
555,flinch,0.453
556,sunset,0.453
557,renovate,0.453
558,elegance,0.453
559,intimately,0.453
560,compliment,0.453
561,improve,0.453
562,inaugural,0.453
563,complement,0.453
564,basketball,0.453
565,prologue,0.453
566,perpetuity,0.453
567,rehabilitation,0.453
568,career,0.453
569,unexpected,0.453
570,concealment,0.445
571,fain,0.445
572,share,0.445
573,surround,0.445
574,volunteer,0.445
575,sweet,0.445
576,epidemic,0.445
577,conjecture,0.445
578,confidence,0.445
579,fitting,0.445
580,perfect,0.445
581,sun,0.445
582,veracity,0.445
583,goodness,0.438
584,respect,0.438
585,conservation,0.438
586,aloha,0.438
587,devout,0.438
588,reconstruction,0.438
589,faith,0.438
590,recombination,0.438
591,rabid,0.438
592,superstitious,0.438
593,angel,0.438
594,serial,0.438
595,prepared,0.438
596,saint,0.438
597,ferment,0.438
598,plea,0.438
599,reconstruct,0.438
600,tickle,0.438
601,medical,0.438
602,passenger,0.438
603,spa,0.430
604,unverified,0.430
605,charitable,0.430
606,tribunal,0.430
607,clap,0.430
608,peace,0.430
609,perpetuate,0.430
610,labyrinth,0.430
611,strategist,0.430
612,venerable,0.430
613,serenity,0.430
614,luscious,0.430
615,install,0.430
616,tabulate,0.430
617,volatility,0.422
618,adrift,0.422
619,candid,0.422
620,grin,0.422
621,vista,0.422
622,edification,0.422
623,conspirator,0.422
624,forestall,0.422
625,recognizable,0.422
626,oasis,0.422
627,revere,0.422
628,laughter,0.422
629,unresolved,0.422
630,worship,0.422
631,patience,0.422
632,peaceful,0.422
633,thought,0.414
634,grant,0.414
635,ordination,0.414
636,detainee,0.414
637,craps,0.414
638,calls,0.414
639,astrologer,0.414
640,probation,0.414
641,frisky,0.414
642,ongoing,0.414
643,morn,0.414
644,continue,0.414
645,pretty,0.414
646,withstand,0.414
647,mediate,0.414
648,proficiency,0.414
649,punctual,0.414
650,weigh,0.414
651,sing,0.411
652,opponent,0.406
653,prophylactic,0.406
654,comfort,0.406
655,nurture,0.406
656,subscribe,0.406
657,continuation,0.406
658,twinkle,0.406
659,mother,0.406
660,headlight,0.406
661,long,0.406
662,confession,0.406
663,chicane,0.406
664,university,0.406
665,midwife,0.406
666,outdo,0.406
667,punished,0.406
668,navigable,0.406
669,banquet,0.406
670,debenture,0.406
671,wizard,0.406
672,proud,0.406
673,deal,0.402
674,guillotine,0.398
675,saintly,0.398
676,representing,0.398
677,balm,0.398
678,obliging,0.398
679,lettered,0.398
680,death,0.398
681,top,0.398
682,vigil,0.398
683,mortification,0.398
684,judiciary,0.398
685,symphony,0.398
686,simmer,0.398
687,distracting,0.398
688,efficient,0.398
689,reliance,0.398
690,maternal,0.391
691,objective,0.391
692,sanctify,0.391
693,unfulfilled,0.391
694,poke,0.391
695,condemnation,0.391
696,chuckle,0.391
697,linger,0.391
698,undoubted,0.391
699,familiarity,0.391
700,antidote,0.391
701,diplomacy,0.391
702,trust,0.391
703,depraved,0.391
704,art,0.391
705,assurance,0.391
706,abeyance,0.391
707,inoculation,0.384
708,humanitarian,0.383
709,discretion,0.383
710,playground,0.383
711,ship,0.383
712,depend,0.383
713,ram,0.383
714,hymn,0.383
715,good,0.383
716,labor,0.383
717,chant,0.383
718,undecided,0.383
719,failing,0.383
720,hap,0.383
721,banger,0.383
722,dutiful,0.383
723,simplify,0.383
724,scientist,0.383
725,track,0.375
726,mountain,0.375
727,recurrent,0.375
728,cradle,0.375
729,interim,0.375
730,clock,0.375
731,sterling,0.375
732,interminable,0.375
733,savor,0.375
734,navigator,0.375
735,gradual,0.375
736,public,0.375
737,towering,0.367
738,abide,0.367
739,musical,0.367
740,instructions,0.367
741,sonar,0.367
742,biennial,0.367
743,convince,0.367
744,whim,0.367
745,concealed,0.367
746,lesson,0.367
747,shiver,0.367
748,spear,0.367
749,offset,0.359
750,undying,0.359
751,atone,0.359
752,timidity,0.359
753,theory,0.359
754,theology,0.359
