,date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease,death_rate,comment_created_time,scare_index
0,2021-03-07,515148.0,839,45475.0,8137.0,726,40212.0,878613.0,74582825.0,131835,4281.0,2801.0,28756184.0,41530,56,363824818,1169754,0.017914338008130703,2021-03-07,0.10566782968923484
1,2021-03-06,514309.0,1680,45453.0,8409.0,503,41401.0,877887.0,74450990.0,143835,4280.0,2811.0,28714654.0,60015,56,362655064,1430992,0.01791102898192679,2021-03-06,0.17717085917368414
2,2021-03-05,512629.0,2221,45373.0,8634.0,2781,42541.0,877384.0,74307155.0,271917,4275.0,2889.0,28654639.0,68787,56,361224072,1744417,0.01788991304339936,2021-03-05,0.17164782976575646
3,2021-03-04,510408.0,1743,45293.0,8970.0,1530,44172.0,874603.0,74035238.0,177957,4267.0,2973.0,28585852.0,65487,56,359479655,1590984,0.01785526630446418,2021-03-04,0.16195446806941136
4,2021-03-03,508665.0,2449,45214.0,9359.0,2172,45462.0,873073.0,73857281.0,267001,4260.0,3094.0,28520365.0,66836,56,357888671,1406795,0.0178351504267214,2021-03-03,0.1248666103122347
5,2021-03-02,506216.0,1728,45084.0,9465.0,1871,46388.0,870901.0,73590280.0,255779,4257.0,3169.0,28453529.0,54248,56,356481876,1343519,0.017790974188122675,2021-03-02,0.15640810848336195
6,2021-03-01,504488.0,1241,44956.0,9595.0,1024,46738.0,869030.0,73334501.0,118077,4252.0,3171.0,28399281.0,48092,56,355138357,1154440,0.017764111704095607,2021-03-01,0.13650381823170754
7,2021-02-28,503247.0,1051,44907.0,9802.0,879,47352.0,868006.0,73216424.0,203599,4252.0,3245.0,28351189.0,54349,56,353983917,1408422,0.01775047247577518,2021-02-28,0.1446911417325317
8,2021-02-27,502196.0,1847,44875.0,10114.0,1428,48871.0,867127.0,73012825.0,205090,4252.0,3335.0,28296840.0,71245,56,352575495,1655179,0.017747423387205072,2021-02-27,0.13890288244085908
9,2021-02-26,500349.0,2141,44791.0,10466.0,1933,51112.0,865699.0,72807735.0,276829,4247.0,3466.0,28225595.0,74857,56,350920316,1803309,0.017726783084643566,2021-02-26,0.13515758320992416
10,2021-02-25,498208.0,3138,44636.0,10846.0,1982,52669.0,863766.0,72530906.0,272209,4233.0,3567.0,28150738.0,75565,56,349117007,1826144,0.017697866393413912,2021-02-25,0.15280823362135168
11,2021-02-24,495070.0,2447,44534.0,11026.0,2172,54118.0,861784.0,72258697.0,245318,4227.0,3685.0,28075173.0,73258,56,347290863,1450666,0.017633729273903317,2021-02-24,0.17170919930755432
12,2021-02-23,492623.0,2241,44420.0,11272.0,2164,55058.0,859612.0,72013379.0,225267,4214.0,3755.0,28001915.0,69105,56,345840197,1193835,0.01759247537177368,2021-02-23,0.1606913982751965
13,2021-02-22,490382.0,1235,44266.0,11536.0,1305,55403.0,857448.0,71788112.0,123611,4200.0,3804.0,27932810.0,52530,56,344646362,1201247,0.017555770436271895,2021-02-22,0.12704850297342182
14,2021-02-21,489147.0,1287,44216.0,11862.0,997,56159.0,856143.0,71664501.0,156778,4197.0,3915.0,27880280.0,58702,56,343445115,1232995,0.017544551202498683,2021-02-21,0.14924802168910845
15,2021-02-20,487860.0,2160,44166.0,12120.0,1732,58222.0,855146.0,71507723.0,141790,4197.0,3932.0,27821578.0,72354,56,342212120,1290481,0.017535310182621562,2021-02-20,0.11549140834438636
16,2021-02-19,485700.0,2477,44085.0,12491.0,2674,59882.0,853414.0,71365933.0,224755,4187.0,4118.0,27749224.0,74676,56,340921639,1878033,0.017503192161337555,2021-02-19,0.14524150842062222
17,2021-02-18,483223.0,2616,43964.0,13045.0,2497,62300.0,850740.0,71141178.0,218491,4178.0,4180.0,27674548.0,66824,56,339043606,1345849,0.017460917518869686,2021-02-18,0.1384779984788066
18,2021-02-17,480607.0,2348,43823.0,13103.0,2857,63405.0,848243.0,70922687.0,233666,4154.0,4271.0,27607724.0,66839,56,337697757,1298421,0.017408425265335165,2021-02-17,0.13504722136982558
