date,count
2020-02-12,414
2020-02-13,15
2020-02-18,45
2020-02-19,35
2020-02-20,5
2020-02-21,40
2020-02-22,67
2020-02-23,22
2020-02-24,45
2020-02-25,28
2020-02-26,33
2020-02-27,486
2020-02-28,191
2020-02-29,127
2020-03-01,766
2020-03-02,574
2020-03-03,2641
2020-03-04,2014
2020-03-05,1690
2020-03-06,2898
2020-03-07,696
2020-03-08,1342
2020-03-09,1928
2020-03-10,2740
2020-03-11,3659
2020-03-12,4615
2020-03-13,7542
2020-03-14,3910
2020-03-15,4336
2020-03-16,7425
2020-03-17,5440
2020-03-18,5236
2020-03-19,7059
2020-03-20,7653
2020-03-21,6313
2020-03-22,6013
2020-03-23,6580
2020-03-24,9097
2020-03-25,6143
2020-03-26,8075
2020-03-27,5241
2020-03-28,6631
2020-03-29,6392
2020-03-30,5774
2020-03-31,5635
2020-04-01,5603
2020-04-02,5670
2020-04-03,3502
2020-04-04,6026
2020-04-05,5654
2020-04-06,5568
2020-04-07,6576
2020-04-08,4983
2020-04-09,5518
2020-04-10,4747
2020-04-11,3560
2020-04-12,3374
2020-04-13,4316
2020-04-14,3527
2020-04-15,3494
2020-04-16,3566
2020-04-17,3208
2020-04-18,2428
2020-04-19,3411
2020-04-20,2897
2020-04-21,2975
2020-04-22,3776
2020-04-23,3351
2020-04-24,3213
2020-04-25,1782
2020-04-26,2337
2020-04-27,2682
2020-04-28,2672
2020-04-29,3625
2020-04-30,2574
2020-05-01,3063
2020-05-02,2302
2020-05-03,2433
2020-05-04,2008
2020-05-05,3408
2020-05-06,3748
2020-05-07,4063
2020-05-08,2728
2020-05-09,3203
2020-05-10,3268
2020-05-11,1973
2020-05-12,2163
2020-05-13,1661
2020-05-14,2857
2020-05-15,3355
2020-05-16,2167
2020-05-17,2377
2020-05-18,2536
2020-05-19,1192
2020-05-20,2305
2020-05-21,1346
2020-05-22,2242
2020-05-23,3066
2020-05-24,2311
2020-05-25,2132
2020-05-26,1437
2020-05-27,2046
2020-05-28,1509
2020-05-29,1624
2020-05-30,1134
2020-05-31,1493
2020-06-01,1488
2020-06-02,1214
2020-06-03,1630
2020-06-04,1967
2020-06-05,1399
2020-06-06,2072
2020-06-07,952
2020-06-08,1495
2020-06-09,1861
2020-06-10,1094
2020-06-11,1011
2020-06-12,734
2020-06-13,2168
2020-06-14,1436
2020-06-15,2026
2020-06-16,792
2020-06-17,2097
2020-06-18,1697
2020-06-19,1032
2020-06-20,1186
2020-06-21,2530
2020-06-22,2138
2020-06-23,1486
2020-06-24,1941
2020-06-25,1152
2020-06-26,2043
2020-06-27,1891
2020-06-28,1855
2020-06-29,2487
2020-06-30,1837
2020-07-01,1641
2020-07-02,2154
2020-07-03,2150
2020-07-04,2225
2020-07-05,1608
2020-07-06,2221
2020-07-07,1983
2020-07-08,1480
2020-07-09,2768
2020-07-10,1772
2020-07-11,3306
2020-07-12,2543
2020-07-13,3066
2020-07-14,2770
2020-07-15,3397
2020-07-16,2686
2020-07-17,2559
2020-07-18,1486
2020-07-19,2180
2020-07-20,2172
2020-07-21,1961
2020-07-22,2450
2020-07-23,2088
2020-07-24,2592
2020-07-25,1739
2020-07-26,2001
2020-07-27,1032
2020-07-28,2725
2020-07-29,2143
2020-07-30,3051
2020-07-31,1924
2020-08-01,1826
2020-08-02,1606
2020-08-03,2694
2020-08-04,2799
2020-08-05,1968
2020-08-06,2909
2020-08-07,2859
2020-08-08,833
2020-08-09,2364
2020-08-10,912
2020-08-11,2290
2020-08-12,2300
2020-08-13,1427
2020-08-14,2092
2020-08-15,1020
2020-08-16,1089
2020-08-17,1585
2020-08-18,1899
2020-08-19,2210
2020-08-20,982
2020-08-21,1128
2020-08-22,471
2020-08-23,1306
2020-08-24,754
2020-08-25,1648
2020-08-26,1199
2020-08-27,758
2020-08-28,2659
2020-08-29,1113
2020-08-30,1082
2020-08-31,510
2020-09-01,1317
2020-09-02,1407
2020-09-03,1036
2020-09-04,1546
2020-09-05,984
2020-09-06,1362
2020-09-07,1090
2020-09-08,988
2020-09-09,1043
2020-09-10,1399
2020-09-11,577
2020-09-12,601
2020-09-13,1236
2020-09-14,731
2020-09-15,1640
2020-09-16,1192
2020-09-17,1554
2020-09-18,1249
2020-09-19,657
2020-09-20,554
2020-09-21,1394
2020-09-22,735
2020-09-23,808
2020-09-24,1126
2020-09-25,1514
2020-09-26,683
2020-09-27,1339
2020-09-28,464
2020-09-29,864
2020-09-30,1153
2020-10-01,216
2020-10-02,1493
2020-10-03,2758
2020-10-04,1944
2020-10-05,3092
2020-10-06,2254
2020-10-07,1768
2020-10-08,2768
2020-10-09,2815
2020-10-10,1595
2020-10-11,945
2020-10-12,1033
2020-10-13,1333
2020-10-14,1380
2020-10-15,1086
2020-10-16,2057
2020-10-17,488
2020-10-18,424
2020-10-19,946
2020-10-20,1669
2020-10-21,1438
2020-10-22,1015
2020-10-23,2005
2020-10-24,1820
2020-10-25,1148
2020-10-26,1346
2020-10-27,1491
2020-10-28,1637
2020-10-29,855
2020-10-30,1714
2020-10-31,2245
2020-11-01,655
2020-11-02,876
2020-11-03,1366
2020-11-04,1933
2020-11-05,1250
2020-11-06,1396
2020-11-07,1847
2020-11-08,1741
2020-11-09,2304
2020-11-10,1481
2020-11-11,1738
2020-11-12,2281
2020-11-13,1408
2020-11-14,1214
2020-11-15,1646
2020-11-16,2327
2020-11-17,1694
2020-11-18,1411
2020-11-19,1131
2020-11-20,884
2020-11-21,3110
2020-11-22,1749
2020-11-23,1278
2020-11-24,393
2020-11-25,1097
2020-11-26,1546
2020-11-27,1329
2020-11-28,1276
2020-11-29,1815
2020-11-30,839
2020-12-01,1078
2020-12-02,2091
2020-12-03,1825
2020-12-04,2065
2020-12-05,1630
2020-12-06,1627
2020-12-07,1427
2020-12-08,2304
2020-12-09,1556
2020-12-10,1446
2020-12-11,1536
2020-12-12,2032
2020-12-13,887
2020-12-14,602
2020-12-15,1446
2020-12-16,856
2020-12-17,1554
2020-12-18,1552
2020-12-19,1232
2020-12-20,1520
2020-12-21,2515
2020-12-22,1524
2020-12-23,1340
2020-12-24,1196
2020-12-25,1097
2020-12-26,740
2020-12-27,1549
2020-12-28,1090
2020-12-29,1154
2020-12-30,1377
2020-12-31,2023
2021-01-01,1626
2021-01-02,945
2021-01-03,1362
2021-01-04,1669
2021-01-05,574
2021-01-06,1058
2021-01-07,551
2021-01-08,972
2021-01-09,1185
2021-01-10,736
2021-01-11,382
2021-01-12,1111
2021-01-13,2105
2021-01-14,573
2021-01-15,1812
2021-01-16,1829
2021-01-17,949
2021-01-18,1266
2021-01-19,2476
2021-01-20,1184
2021-01-21,1693
2021-01-22,1145
2021-01-23,775
2021-01-24,1492
2021-01-25,1015
2021-01-26,1192
2021-01-27,1060
2021-01-28,934
2021-01-29,928
2021-01-30,546
2021-01-31,1429
2021-02-01,1024
2021-02-02,1064
2021-02-03,868
2021-02-04,873
2021-02-05,845
2021-02-06,1102
2021-02-07,647
2021-02-08,527
