,word,score
0,cannibalism,0.953
1,mutilation,0.930
2,incest,0.914
3,molestation,0.914
4,gonorrhea,0.906
5,rape,0.906
6,cannibal,0.898
7,rot,0.891
8,corpse,0.883
9,massacre,0.883
10,excrement,0.883
11,slaughter,0.875
12,barf,0.875
13,slaughterhouse,0.867
14,filth,0.859
15,incestuous,0.859
16,sewerage,0.859
17,bigot,0.859
18,rancid,0.859
19,infestation,0.852
20,holocaust,0.852
21,plague,0.852
22,bloodthirsty,0.852
23,maggot,0.844
24,feces,0.844
25,rotting,0.844
26,fecal,0.844
27,murder,0.839
28,asshole,0.836
29,enslaved,0.836
30,infanticide,0.836
31,homicide,0.836
32,excretion,0.828
33,gore,0.828
34,torture,0.828
35,slaughtering,0.828
36,perverted,0.828
37,contaminate,0.821
38,desecration,0.820
39,grotesque,0.820
40,repugnant,0.820
41,pervert,0.820
42,diarrhoea,0.820
43,terrorist,0.820
44,manure,0.820
45,shit,0.820
46,revolting,0.820
47,murderer,0.820
48,gory,0.820
49,vomit,0.812
50,sewer,0.812
51,slavery,0.812
52,dismemberment,0.812
53,faeces,0.812
54,manslaughter,0.812
55,cadaver,0.812
56,perverse,0.805
57,hemorrhage,0.805
58,repulsive,0.805
59,depravity,0.797
60,diseased,0.797
61,sewage,0.797
62,filthy,0.797
63,carcass,0.795
64,parasite,0.789
65,mutilated,0.789
66,murderous,0.789
67,vermin,0.789
68,dung,0.789
69,herpes,0.789
70,puke,0.789
71,decompose,0.789
72,horrific,0.789
73,decayed,0.789
74,gruesome,0.789
75,malaria,0.781
76,pestilence,0.781
77,slime,0.781
78,crap,0.781
79,monstrosity,0.781
80,flatulence,0.781
81,carnage,0.781
82,herpesvirus,0.773
83,insidious,0.773
84,leprosy,0.773
85,morgue,0.773
86,toxic,0.773
87,loathsome,0.773
88,pus,0.773
89,anthrax,0.766
90,repugnance,0.766
91,revulsion,0.766
92,regurgitation,0.766
93,cruel,0.766
94,lynch,0.766
95,xenophobia,0.766
96,whore,0.766
97,dissection,0.759
98,canker,0.758
99,mucous,0.758
100,slum,0.758
101,evil,0.758
102,infectious,0.758
103,phlegm,0.758
104,perversion,0.758
105,cruelty,0.758
106,corrupting,0.750
107,decomposition,0.750
108,leeches,0.750
109,sinister,0.750
110,demon,0.742
111,bile,0.742
112,mucus,0.742
113,sickening,0.742
114,abomination,0.742
115,septic,0.742
116,stinking,0.742
117,demonic,0.742
118,abhorrence,0.742
119,soiled,0.742
120,deranged,0.742
121,obese,0.734
122,sicken,0.734
123,atrocity,0.734
124,degeneracy,0.734
125,crucifixion,0.734
126,despicable,0.734
127,foul,0.734
128,terrorism,0.734
129,cancer,0.734
130,bacterium,0.727
131,grisly,0.727
132,diabolical,0.727
133,enema,0.727
134,dirty,0.727
135,adultery,0.727
136,morbidity,0.727
137,contamination,0.727
138,dysentery,0.727
139,repulsion,0.727
140,garbage,0.719
141,pungent,0.719
142,lewd,0.719
143,entrails,0.719
144,barbaric,0.719
145,bowels,0.719
146,disfigured,0.719
147,deterioration,0.719
148,vulgar,0.719
149,muck,0.719
150,autopsy,0.719
151,disgust,0.719
152,gross,0.719
153,contagion,0.719
154,vicious,0.719
155,bloodshed,0.714
156,poisoned,0.711
157,wretched,0.711
158,tyrant,0.711
159,nausea,0.711
160,mortification,0.711
161,pollute,0.711
162,gag,0.711
163,violent,0.711
164,nasty,0.703
165,disgusting,0.703
166,noxious,0.703
167,porn,0.703
168,poisoning,0.703
169,grope,0.703
170,slut,0.703
171,vulgarity,0.703
172,constipation,0.703
173,depraved,0.703
174,despotism,0.703
175,hateful,0.703
176,slimy,0.703
177,nauseate,0.703
178,secretion,0.703
179,grime,0.703
180,measles,0.696
181,intestinal,0.695
182,suicidal,0.695
183,hellish,0.695
184,abuse,0.695
185,contagious,0.695
186,obesity,0.695
187,wretch,0.695
188,wart,0.695
189,scum,0.695
190,hate,0.695
191,waste,0.695
192,ooze,0.688
193,contaminated,0.688
194,rabid,0.688
195,smut,0.688
196,treason,0.688
197,disease,0.688
198,heartworm,0.688
199,antichrist,0.680
200,bestial,0.680
201,freakish,0.680
202,detest,0.680
203,soulless,0.680
204,cholera,0.680
205,pollution,0.680
206,abhorrent,0.680
207,grimy,0.680
208,hell,0.680
209,hatred,0.680
210,abominate,0.680
211,germ,0.680
212,sickness,0.680
213,deformed,0.680
214,obscene,0.672
215,dictatorship,0.672
216,inhuman,0.672
217,loathful,0.672
218,dilapidated,0.672
219,loathing,0.672
220,hideous,0.672
221,greasy,0.672
222,cess,0.670
223,deadly,0.664
224,abominable,0.664
225,swine,0.664
226,deformity,0.664
227,discrimination,0.664
228,heretic,0.664
229,masochism,0.664
230,nauseous,0.664
231,devil,0.664
232,death,0.656
233,poison,0.656
234,oppression,0.656
235,mange,0.656
236,victimized,0.656
237,latrines,0.656
238,trash,0.656
239,prejudiced,0.656
240,nefarious,0.656
241,horror,0.656
242,abortion,0.656
243,goo,0.656
244,bacteria,0.656
245,poisonous,0.656
246,horrible,0.656
247,corruption,0.656
248,horrid,0.648
249,immoral,0.648
250,sludge,0.648
251,vindictive,0.648
252,trashy,0.648
253,ugly,0.648
254,bitch,0.648
255,outhouse,0.648
256,detestation,0.648
257,cystic,0.641
258,spew,0.641
259,villainous,0.641
260,malfeasance,0.641
261,criminality,0.641
262,indecency,0.641
263,slop,0.641
264,derogatory,0.641
265,unsightly,0.641
266,pimple,0.641
267,horrifying,0.641
268,laxative,0.641
269,mildew,0.633
270,bigoted,0.633
271,ulcer,0.633
272,oppressive,0.633
273,rat,0.633
274,doomsday,0.633
275,prostitution,0.633
276,secrete,0.633
277,perpetrator,0.633
278,queasy,0.633
279,sinful,0.633
280,ghastly,0.625
281,disgraceful,0.625
282,stools,0.625
283,aghast,0.625
284,cuckold,0.625
285,suffering,0.625
286,bloated,0.625
287,sin,0.625
288,degrading,0.625
