,word,score
0,torture,0.984
1,terrorist,0.972
2,horrific,0.969
3,terrorism,0.969
4,terrorists,0.969
5,suicidebombing,0.967
6,kill,0.962
7,homicidal,0.959
8,terror,0.953
9,murderer,0.953
10,catastrophe,0.953
11,annihilate,0.953
12,dying,0.948
13,war,0.942
14,bombing,0.938
15,bomb,0.935
16,missiles,0.934
17,horror,0.923
18,horrified,0.922
19,terrorize,0.922
20,brutality,0.922
21,bloodthirsty,0.922
22,murderous,0.920
23,massacre,0.911
24,horrifying,0.906
25,mutilation,0.906
26,assassinate,0.906
27,terrifying,0.906
28,fatality,0.906
29,horrors,0.906
30,demon,0.906
31,murder,0.906
32,devastation,0.906
33,killing,0.906
34,terrified,0.906
35,holocaust,0.906
36,suicidal,0.898
37,kidnap,0.891
38,crucifixion,0.891
39,slaughter,0.891
40,assault,0.891
41,doomed,0.888
42,poisoned,0.886
43,suicide,0.879
44,explosion,0.879
45,disastrous,0.875
46,dismemberment,0.875
47,annihilation,0.875
48,savagery,0.875
49,deadly,0.875
50,slaughtering,0.875
51,suffocation,0.875
52,disaster,0.875
53,threatening,0.875
54,assassin,0.875
55,rape,0.870
56,hell,0.860
57,slaughterhouse,0.859
58,guillotine,0.859
59,explosive,0.859
60,annihilated,0.859
61,demonic,0.859
62,ihatespiders,0.859
63,bloodshed,0.859
64,dread,0.859
65,homicide,0.859
66,barbaric,0.859
67,anthrax,0.859
68,molestation,0.859
69,warfare,0.859
70,peril,0.859
71,tragedy,0.859
72,attacking,0.859
73,paralyzed,0.859
74,executioner,0.859
75,suffocating,0.858
76,treachery,0.856
77,fright,0.853
78,apocalypse,0.844
79,bombardment,0.844
80,afraid,0.844
81,frightening,0.844
82,frightened,0.844
83,scariest,0.844
84,panicked,0.844
85,morgue,0.844
86,traumatic,0.844
87,execution,0.844
88,monster,0.844
89,vengeance,0.844
90,destroying,0.844
91,slayer,0.844
92,abomination,0.844
93,painful,0.844
94,drown,0.844
95,petrified,0.844
96,scare,0.844
97,death,0.843
98,chaos,0.839
99,ghastly,0.836
100,evil,0.833
101,explode,0.828
102,devil,0.828
103,fatal,0.828
104,doomsday,0.828
105,doom,0.828
106,frighten,0.828
107,cancer,0.828
108,fear,0.828
109,nightmare,0.828
110,manslaughter,0.828
111,trauma,0.828
112,eradication,0.828
113,gunmen,0.828
114,intruder,0.828
115,brutal,0.828
116,violently,0.828
117,grenade,0.828
118,hellish,0.828
119,assassination,0.828
120,kidnapped,0.828
121,paralyze,0.828
122,morbidity,0.820
