,word,score
0,happiest,0.986
1,happiness,0.984
2,bliss,0.971
3,celebrating,0.970
4,jubilant,0.969
5,ecstatic,0.954
6,elation,0.944
7,beaming,0.938
8,bestdayever,0.938
9,loveee,0.932
10,celebration,0.929
11,awesomeness,0.926
12,joy,0.924
13,happily,0.922
14,fabulous,0.922
15,exuberance,0.922
16,excitement,0.922
17,joyous,0.922
18,makesmehappy,0.922
19,euphoria,0.922
20,lovee,0.920
21,gratitude,0.914
22,happydance,0.912
23,merriment,0.912
24,spectacular,0.912
25,overjoyed,0.909
26,purebliss,0.909
27,triumphant,0.907
28,lovelovelove,0.906
29,ecstasy,0.906
30,cheerful,0.906
31,cheer,0.897
32,elated,0.894
33,jolly,0.891
34,lovethis,0.891
35,peaceofmind,0.891
36,delighted,0.891
37,exhilaration,0.891
38,excitation,0.891
39,pleasures,0.891
40,laugh,0.891
41,marvelously,0.881
42,blissful,0.879
43,loving,0.879
44,outstanding,0.879
45,joyful,0.879
46,pleasurable,0.877
47,overthemoon,0.875
48,lovinglife,0.875
49,yaaaay,0.875
50,happyplace,0.875
51,iloveher,0.875
52,glee,0.875
53,enthusiastic,0.875
54,sohappy,0.868
55,superb,0.864
56,laughing,0.864
57,woohoo,0.864
58,wonderful,0.863
59,ilovechristmas,0.859
60,hooray,0.859
61,brilliant,0.859
62,cheering,0.859
63,glory,0.859
64,tearsofjoy,0.859
65,magnificent,0.859
66,hallelujah,0.859
67,yayyyy,0.859
68,celebrated,0.859
69,loved,0.859
70,exciting,0.853
71,heavenly,0.853
72,thrilled,0.851
73,mademyday,0.848
74,hohoho,0.845
75,wonderfully,0.844
76,blessing,0.844
77,favoriteholiday,0.844
78,celebrate,0.844
79,celebrations,0.833
80,blessed,0.833
81,festive,0.833
82,sweetness,0.833
83,paradise,0.833
84,marvellous,0.833
85,compliment,0.831
86,enchanting,0.828
87,smiling,0.828
88,allsmiles,0.828
89,love,0.828
90,homesweethome,0.826
91,thankyougod,0.824
92,marvelous,0.824
93,laughter,0.824
94,goodmood,0.819
95,happyheart,0.818
96,joys,0.818
97,sensational,0.818
98,celebratory,0.818
99,excellence,0.818
100,delightful,0.818
101,goodness,0.818
102,excited,0.818
103,rejoicing,0.818
104,greatful,0.816
105,jovial,0.814
106,glorious,0.812
107,victorious,0.812
108,excellent,0.812
109,bonanza,0.812
110,rejoice,0.812
111,splendid,0.812
112,enjoy,0.812
113,lovemaking,0.812
114,greatday,0.812
115,smiley,0.812
116,goodtimes,0.811
117,whatmakesmesmile,0.811
118,happyday,0.809
119,myfavorite,0.804
120,yeahhhh,0.803
121,gladness,0.803
122,yayyy,0.803
123,pleasure,0.803
124,thankyoulord,0.803
125,giggle,0.802
126,lovinlife,0.797
127,yesss,0.797
128,happytweet,0.797
129,success,0.797
130,dancing,0.797
131,lovemylife,0.797
132,happier,0.797
133,magnificence,0.797
134,grateful,0.789
135,happy,0.788
136,amuse,0.788
137,splendor,0.788
138,fun,0.788
139,glorify,0.781
140,solucky,0.781
141,glad,0.781
142,enchanted,0.781
143,sothankful,0.781
144,radiant,0.781
145,beautiful,0.781
146,giggling,0.781
147,perfection,0.779
148,christmassy,0.779
149,heavens,0.779
150,romance,0.779
151,thrilling,0.776
152,happyvalentinesday,0.773
153,entertain,0.773
154,cheered,0.773
155,positivity,0.773
156,congrats,0.773
157,cheers,0.773
158,lovable,0.773
159,miraculous,0.773
160,fiesta,0.773
161,funday,0.772
162,enjoying,0.771
163,amused,0.766
164,smiles,0.766
165,lifeisgood,0.766
166,thebest,0.766
167,cuddling,0.766
168,sosweet,0.766
169,christmasspirit,0.766
170,goodfeeling,0.766
171,delight,0.765
172,orgasm,0.765
173,party,0.765
174,positive,0.761
175,enlighten,0.758
176,cheerfulness,0.758
177,miracles,0.758
178,sweetheart,0.758
179,giddy,0.757
180,christmastime,0.757
181,pleasing,0.750
182,gratify,0.750
183,smile,0.750
184,laughs,0.750
185,greatness,0.750
186,friendliness,0.750
187,happyholidays,0.750
188,romantic,0.750
189,blessings,0.750
190,tistheseason,0.750
191,frolic,0.748
192,positiveenergy,0.742
193,rewarding,0.742
194,magical,0.742
195,miracle,0.742
196,selflove,0.742
197,jubilee,0.742
198,triumph,0.742
199,goodvibes,0.742
200,enthusiasm,0.742
201,feelgood,0.736
202,prosperity,0.735
203,passionate,0.734
204,admiration,0.734
205,feelinggood,0.734
206,tgif,0.734
207,victory,0.734
208,enchant,0.734
209,vivacious,0.734
210,luxurious,0.734
211,behappy,0.734
212,greatnight,0.734
213,goodday,0.734
214,glorification,0.733
215,glowing,0.729
216,sing,0.729
217,breathtaking,0.728
218,yessss,0.728
219,fulfillment,0.728
220,atpeace,0.727
221,hurrah,0.727
222,merry,0.727
223,santa,0.727
224,award,0.727
225,christmasbreak,0.727
226,thankful,0.727
227,cheery,0.727
228,win,0.727
229,pleased,0.725
230,inspiration,0.725
231,radiance,0.725
232,uplift,0.723
233,optimistic,0.723
234,holidays,0.721
235,thrill,0.721
236,heaven,0.721
237,godisgreat,0.721
238,lucky,0.721
239,amusement,0.719
240,congratulatory,0.719
241,harmony,0.719
242,brighten,0.719
243,lover,0.719
244,perfect,0.719
245,lovely,0.719
246,thriving,0.719
247,praising,0.719
248,utopian,0.719
249,xmas,0.719
250,heartfelt,0.719
251,luxury,0.712
252,treasures,0.712
253,magic,0.712
254,bestfeeling,0.712
255,merrychristmas,0.712
256,achievement,0.712
257,holiday,0.712
258,yay,0.712
259,luckiest,0.712
260,intimate,0.710
261,yaaay,0.706
262,chuckle,0.706
263,rave,0.706
264,soblessed,0.706
265,proud,0.704
266,cherish,0.703
267,sweetest,0.703
268,amazingly,0.703
269,optimism,0.703
270,fuckyeah,0.703
271,goodnews,0.703
272,cuddled,0.703
273,satisfying,0.703
274,beautification,0.703
275,truelove,0.703
276,lovelife,0.703
277,gooood,0.703
278,goodlife,0.703
279,appreciates,0.703
280,winning,0.703
281,yaay,0.700
282,entertained,0.700
283,excite,0.697
284,newbeginnings,0.693
285,praisejesus,0.691
286,birthday,0.691
287,exquisite,0.688
288,content,0.688
289,godsend,0.688
290,thankyoujesus,0.688
291,adoration,0.688
292,angelic,0.688
293,greatfriends,0.688
294,favorite,0.688
295,metime,0.688
296,honored,0.688
297,holidayseason,0.688
298,entertaining,0.688
299,majestic,0.682
300,brightens,0.682
301,exaltation,0.682
302,goodhealth,0.682
303,smiled,0.682
304,bestfriends,0.682
305,memoriesiwontforget,0.682
306,precious,0.682
307,luscious,0.682
308,appreciated,0.682
309,tranquility,0.679
310,embrace,0.676
311,marry,0.676
312,positively,0.676
313,grin,0.672
314,giggles,0.672
315,enliven,0.672
316,bday,0.672
317,relaxation,0.672
318,hug,0.672
319,hilarious,0.672
320,contentment,0.672
321,weeeee,0.672
322,dearest,0.672
323,accomplished,0.672
324,fulfilled,0.667
325,adore,0.667
326,bountiful,0.667
327,victor,0.667
328,boisterous,0.667
329,fulfill,0.664
330,cuddles,0.662
