,word,score
0,heartbreaking,0.969
1,mourning,0.969
2,tragic,0.961
3,holocaust,0.953
4,suicidal,0.941
5,misery,0.938
6,massacre,0.931
7,euthanasia,0.927
8,depression,0.925
9,fatal,0.922
10,bereavement,0.922
11,grieving,0.922
12,bereaved,0.920
13,devastation,0.917
14,death,0.915
15,suicide,0.912
16,devastated,0.912
17,catastrophe,0.911
18,horrifying,0.907
19,tragedy,0.906
20,died,0.906
21,depressing,0.906
22,anguish,0.902
23,agony,0.900
24,deadly,0.898
25,weeping,0.896
26,deceased,0.891
27,stillbirth,0.891
28,murderer,0.877
29,cancer,0.875
30,dying,0.875
31,rape,0.875
32,devastating,0.875
33,sadness,0.864
34,morbidity,0.864
35,execution,0.859
36,abandonment,0.859
37,crucifixion,0.859
38,grief,0.859
39,depressed,0.859
40,perish,0.859
41,traumatic,0.859
42,atrocity,0.859
43,cadaver,0.853
44,betrayed,0.848
45,treachery,0.848
46,funeral,0.844
47,grieve,0.844
48,murderous,0.844
49,miserable,0.844
50,hopelessness,0.844
51,persecution,0.844
52,sad,0.844
53,suffering,0.844
54,sorrow,0.844
55,homicide,0.844
56,slaughtering,0.844
57,destroyed,0.844
58,horrific,0.844
59,unhappiness,0.839
60,crippled,0.836
61,bloodshed,0.836
62,pained,0.833
63,manslaughter,0.833
64,carnage,0.833
65,unbearable,0.830
66,stillborn,0.830
67,torment,0.828
68,helplessness,0.828
69,annihilation,0.828
70,slavery,0.828
71,annihilated,0.828
72,enslaved,0.828
73,casualty,0.828
74,horrors,0.828
75,murder,0.828
76,mourn,0.828
77,morbid,0.828
78,abandoned,0.828
79,sickness,0.828
80,mutilation,0.828
81,miscarriage,0.824
82,starvation,0.819
83,cruelty,0.812
84,childloss,0.812
85,disgrace,0.812
86,killing,0.812
87,oppression,0.812
88,terrorism,0.812
89,failure,0.812
90,famine,0.812
91,heartache,0.812
92,burial,0.812
93,saddens,0.812
94,distraught,0.812
95,despair,0.812
96,sadly,0.812
97,mournful,0.812
98,bloody,0.806
99,inhumanity,0.804
100,perishing,0.804
101,malignancy,0.803
102,mortification,0.802
103,kill,0.797
104,lifeless,0.797
105,dreadful,0.797
106,slave,0.797
107,desolation,0.797
108,devastate,0.797
109,perished,0.797
110,assassination,0.797
111,mortuary,0.797
112,dreadfully,0.797
113,leukemia,0.797
114,sarcoma,0.797
115,lethal,0.797
116,gallows,0.797
117,brokenheart,0.792
118,banishment,0.790
119,afflict,0.789
120,disheartened,0.788
121,bury,0.781
122,desecration,0.781
123,demoralized,0.781
124,tumour,0.781
125,terrorize,0.781
126,crying,0.781
127,heartbreak,0.781
128,die,0.773
129,lynch,0.773
130,sufferer,0.770
131,loneliness,0.766
132,abortion,0.766
133,dismemberment,0.766
134,diseased,0.766
135,fearful,0.766
136,destitute,0.766
137,torture,0.766
138,slayer,0.766
139,cemetery,0.766
140,fatality,0.766
141,condolence,0.766
142,doomed,0.766
143,painfully,0.758
144,moribund,0.758
145,disaster,0.758
146,depress,0.755
147,condemnation,0.754
148,victimized,0.750
149,obliteration,0.750
150,depressive,0.750
151,terrorist,0.750
152,guilt,0.750
153,incest,0.750
154,pandemic,0.750
155,unhappy,0.750
156,defeated,0.750
157,painful,0.750
158,deplorable,0.750
159,damnation,0.750
160,doomsday,0.750
161,corpse,0.750
162,abduction,0.750
163,sorrowful,0.750
164,regretful,0.750
165,desperation,0.750
166,cry,0.750
167,sickening,0.750
168,hemorrhage,0.750
169,unfairness,0.745
170,molestation,0.744
171,exile,0.742
172,abysmal,0.742
173,hellish,0.738
174,exterminate,0.736
175,disgraced,0.734
176,homeless,0.734
177,destroying,0.734
178,battered,0.734
179,betrayal,0.734
180,horrid,0.734
181,warfare,0.734
182,assassin,0.734
183,disastrous,0.734
184,lonesome,0.734
185,miserably,0.734
186,morgue,0.734
187,slaughter,0.734
188,earthquake,0.734
189,orphan,0.734
190,listless,0.729
191,grave,0.727
192,emptiness,0.727
193,unfortunately,0.727
194,alienated,0.727
195,fraught,0.722
196,forsaken,0.719
197,leprosy,0.719
198,cried,0.719
199,paralysis,0.719
200,malicious,0.719
201,ashamed,0.719
202,woe,0.719
203,danger,0.719
204,disheartening,0.719
205,heartless,0.719
206,violently,0.719
207,cripple,0.719
208,horror,0.719
209,atrophy,0.719
210,missing,0.719
211,emaciated,0.719
212,pain,0.719
213,demise,0.717
214,sickly,0.712
215,disgruntled,0.712
216,violence,0.712
217,rejected,0.712
218,torn,0.710
219,calamity,0.709
220,grim,0.708
221,grievous,0.704
222,hearse,0.703
223,extinct,0.703
224,crushed,0.703
225,isolation,0.703
226,meltdown,0.703
227,obit,0.703
228,paralyzed,0.703
229,carcinoma,0.703
230,suffocating,0.703
231,deformed,0.703
232,inhuman,0.703
233,punishing,0.703
234,incurable,0.703
235,strangle,0.703
236,disfigured,0.703
237,victim,0.703
238,deformity,0.703
239,slaughterhouse,0.703
240,decomposition,0.703
241,humiliate,0.703
242,buried,0.703
243,oppressor,0.703
244,abandon,0.703
245,tearful,0.703
246,isolate,0.703
247,lifesucks,0.700
248,hell,0.700
249,ruinous,0.698
250,banish,0.697
251,ruined,0.697
252,accursed,0.697
253,widow,0.697
254,vanished,0.695
255,displaced,0.691
256,poverty,0.690
257,illness,0.688
258,hopeless,0.688
259,travesty,0.688
260,deserted,0.688
261,regretting,0.688
262,loss,0.688
263,pathetic,0.688
264,nohope,0.688
265,stab,0.688
266,shooting,0.688
267,foreveralone,0.688
268,imprisoned,0.688
269,insanity,0.688
270,hurtful,0.688
271,terminal,0.688
272,epidemic,0.688
273,hurt,0.688
274,depraved,0.688
275,banished,0.688
276,infidelity,0.688
277,neglected,0.688
278,sob,0.688
279,teary,0.688
280,dementia,0.688
281,widower,0.688
282,hospice,0.688
283,dismissal,0.686
284,alienation,0.685
285,hardship,0.685
