,word,score
0,surprise,0.930
1,explode,0.906
2,flabbergast,0.906
3,explosion,0.898
4,eruption,0.883
5,explosive,0.883
6,ambush,0.883
7,frighten,0.875
8,startle,0.875
9,shockingly,0.875
10,surprisingly,0.875
11,surprised,0.867
12,surprising,0.867
13,frightened,0.867
14,thrilling,0.859
15,miracle,0.859
16,outburst,0.859
17,blast,0.852
18,alarm,0.852
19,astonishingly,0.852
20,thunderstruck,0.844
21,shock,0.844
22,jolt,0.844
23,catastrophe,0.836
24,dazzle,0.836
25,fright,0.836
26,unexpectedly,0.836
27,bang,0.836
28,emergency,0.828
29,startling,0.828
30,bewilderment,0.828
31,suddenly,0.828
32,astound,0.820
33,stunned,0.820
34,earthquake,0.812
35,disaster,0.812
36,jackpot,0.812
37,climax,0.805
38,astonish,0.805
39,aghast,0.805
40,astonishment,0.805
41,scare,0.797
42,awestruck,0.797
43,exclaim,0.789
44,erupt,0.789
45,bomb,0.789
46,amazement,0.781
47,alarming,0.773
48,abduction,0.773
49,invade,0.773
50,miraculous,0.773
51,raid,0.773
52,detonate,0.773
53,kidnap,0.766
54,stupefy,0.758
55,unpredictable,0.758
56,dumfound,0.758
57,overwhelming,0.758
58,accident,0.750
59,unimaginable,0.750
60,outrageous,0.750
61,erratic,0.750
62,bewilder,0.742
63,flinch,0.742
64,amaze,0.742
65,blitz,0.742
66,petrify,0.742
67,wreck,0.742
68,horror,0.742
69,slaughter,0.742
70,frantic,0.734
71,stupefaction,0.734
72,crash,0.734
73,frenetic,0.734
74,excitement,0.734
75,sudden,0.727
76,vanished,0.727
77,outcry,0.727
78,moonstruck,0.727
79,riotous,0.727
80,bewildered,0.719
81,rupture,0.719
82,scream,0.719
83,shriek,0.719
84,amazedness,0.719
85,awe,0.719
86,manslaughter,0.719
87,sabotage,0.719
88,unanticipated,0.719
89,breathless,0.719
90,unexpected,0.711
91,gasp,0.711
92,electrify,0.711
93,avalanche,0.711
94,uncontrollable,0.711
95,shot,0.711
96,stun,0.711
97,suspense,0.703
98,unforeseen,0.703
99,abrupt,0.703
100,intruder,0.703
101,devastation,0.703
102,slam,0.703
103,surge,0.703
104,stab,0.695
105,excite,0.695
106,unprecedented,0.695
107,yell,0.695
108,strike,0.695
109,dumfounder,0.695
110,volatility,0.695
111,urgent,0.695
112,carnage,0.688
113,spectacular,0.688
114,disturbance,0.688
115,incredible,0.688
116,recklessness,0.680
117,slap,0.680
118,thrill,0.680
119,monstrous,0.680
